aal;угорь
heiler;исцелитель
heilgymnastik;лечебная физкультура
heilig;святой,священный
heilkräftig;целебный,целительный
heilkunde;медицина
heilmittel;лечебное средство,лекарство
heilpraktiker;исцелитель
heilquelle f;минеральный источник
heilsam;благотворный
heim;домой,на родину
heim n;домашний очаг,дом отдыха,общежитие
heimarbeit;домашняя работа
heimat;отечество,родина
heimatkunde;краеведение
heimatland;родина
heimatlos;без родины
heimatmuseum;краеведческий музей
heimchen;сверчок
heimisch;домашний,родной,отечественный
heimkehren;возвращаться домой
heimlich;тайно,тайком,тайный
heimsuchen;постигать,поражать
heimtückisch;коварный,вероломный,предательский
heimweh;тоска по дому,тоска по родине
heimwärts;домой,на родину
heirat f;брак,бракосочетание,женитьба,замужество
heiraten;жениться,выходить замуж
heiser;хриплый,сиплый
heiter;веселый,ясный,о погоде
heizapparat;нагревательный прибор
heizen;подбрасывать топливо,топить
heizen ii;отапливать
heizer;кочегар,истопник
heizkörper;радиатор отопления
heizung;отопление,топка
heizöl;горючее
heiß;горячий,жаркий,пламенный,пылкий
heißen;называть,велеть,называться
heißen ii;значить,означать
heißlaufen;ссадина
heißluftballon;воздушный шар
hektisch;чахотка
held;герой
heldenhaft;героический,доблестный
heldenmut;героизм,доблесть
heldenmütig;героический,доблестный
heldentat;подвиг
heldentum;героизм
heldin;героиня
helfen;помогать
helfend;порция
helfer;помощник
hell;светлый,ясный,яркий
hell ein heller kopf;светлая голова
hell eine helle stimme;звонкий голос
hellenisch;древнегреческий,эллинский
helligkeit;яркость
hellsehend;проницательный,прозорливый
hellseher;ясновидец,провидец
hellseherei;ясновидение
helm;каска,шлем
helsinki;хельсинки
hemd;рубашка,мужская сорочка
hemmen;задерживать,препятствовать
hemmnis;препятствие,помеха
hemmung;препятствие,комплексы,психол
hemmung ii;торможение,развития
hemmungslos;необузданный,безудержный,без комплексов
hengst;жеребец
henker;палач
henne;курица,несушка
her;сюда
her es ist eine woche;уже неделю как
her von oben;сверху
herab;сверху вниз
herabsetzen;понижать,снижать
herabsetzung;умаление
herabsinken;погружаться,опускаться
heraldik;геральдика
heran;впер,поближе,сюда
heranbringen;привести,приносить
herantreten;подходить,приступать
heranwachsende;юношеский
herauf;вверх,наверх
heraufkommen;взбираться,всходить,подняться
heraus;изнутри
herausfinden;отыскать,обнаружить,догадаться
herausfordern;бросать вызов,вызывать на соревнование
herausgabe;издание
herausgeben;выдавать,издавать,выпускать
herausgeben ii;давать сдачу,деньги
herausgeber;издатель,редактор
herauskommen;выходить,обнаруживаться
herausnehmen;позволять себе лишнее
herausplatzen;сказать невпопад
herausstellen;выставлять
herauswinden;корчиться
herausziehen;извлечение
herb;терпкий,сухой,о вине
herbei;сюда
herbeischaffen;приводить,доставлять,доставать
herberge;туристская база,турбаза
herbheit;терпкость
herbst;осень
herbstlich;осенний
herd;плита,очаг
herde;стадо,табун
herden;шерстяные очески
herein;внутрь,сюда,войдите
hereinbrechen;обрушиваться на
hereinlassen;впускать
herhalten;подставлять
herholen;принести,доставить
hering;сельдь,сел,дка
herkommen;происходить,приходить
herkules;геркулес
herkunft;происхождение
hermetisch;герметический
hernach;впоследствии
heroe;герой
heroin;героин
heroisch;героический
herold;вестник
heros;герой
herpes;лишай
herr;мужчина,человек,господин,хозяин
herrensitz;большой особняк
herrenzimmer;кабинет,хозяина дома
herrichten;устраивать,приготовлять
herrichten den tisch;накрывать на стол
herrichten ein mahl;приготовить обед
herrin;госпожа,хозяйка
herrisch;властный,повелительный
herrlich;великолепный,прекрасный
herrlich ii;прекрасно
herrlichkeit;великолепие
herrschaft;господство,власть
herrschaften;господа
herrschen;господствовать,властвовать
herrschen ii;царить
herrschend;правящий
herrscher;властелин,повелитель
herrscherhaus;династия
herrühren;происходить,проистекать
herstammen;происходить,вести начало от
herstellen;изготовлять,производить
herstellen ii;восстанавливать
hersteller;изготовитель,режиссер
herstellung;производство,изготовление,установление
herstellung ii;восстановление
herum;вокруг
herum um die ecke;за углом
herumdrehen;поворачивать
herumdrehen ii;искажать
herumflattern;перелетать,кокетка
herumgehen;ходить вокруг,обходить
herumhuren;вступать во внебрачную связь
herumlaufen;обегать,бегать,взад и впер
herumlungern;слоняться,бездельничать
herumreitend;верховая езда
herumschweifen;странствование
herumstöbern;шарить
herumzausen;растрепать
herunter;вниз
herunterfahren;закрывать
herunterkommen;сходить,спускаться
herunterkommen ii;опуститься
herunterstürzen;сбрасывать,свалиться
hervor;из-за,сквозь
hervorbringen;происходить,порождать,произносить
hervorgehoben;смелый
hervorheben;подчеркивать,отмечать,выделять
hervorragen;возвышаться,выситься
hervorragend;выдающийся
hervorrufen;вызывать,приводить к
hervortretend;выпуклый
herz;сердце
herzig;милый,славный
herzklopfen;серцебиение
herzlich;сердечный,искренний
herzlosigkeit f;бессердечность
herzog;герцог
herzogin;герцогиня
herzogtum;герцогство
herzukommen;прибывать
herüber;через,на эту сторону
herüberführen;переводить,перевозить
heterodox;неортодоксальный
heterodoxie;неортодоксальность
heterogen;неоднородный,гетерогенный
heterogenes;неоднородное
hetze;травля,спешка,горячка
hetzen;травить,зверя,спешить,суетиться
hetzhund;английская гончая,борзая собака
hetzrede;обличительная речь
heu;сено
heuchelei;лицемерие,притворство
heucheln;лицемерить,кривить душой
heuchler;лицемер,ханжа
heuchlerisch;лицемерный,двуличный,ханжеский
heulen;выть,завывать,реветь
heulsuse;плакса
heuristisch;эвристический
heuschrecke;саранча
heute;сегодня
heute abend;сегодня вечером
heute die heutige zeit;нынешнее время
heute früh;сегодня утром
heute von  an;с сегодняшнего дня
heutig;сегодняшний,теперешний
heutzutage;в наши дни,сегодня,нынче
hexadezimal;шестнадцатеричный
hexadezimales;шестнадцатиричное
hexaeder;шестигранник
hexe;колдунья,ведьма,баба-яга
hexen;заколдовать
hexensabbat;сборище,шабаш ведьм
hexenschuß;прострел,люмбарго
hexer;колдун,волшебник,чародей
hieb;удар
hier;здесь,тут
hier von  an;отсюда
hierauf;впоследствии
hierdurch;таким образом
hierher;сюда
hiermit;при этом
hiervon;об этом
hierzu;к тому,же,для этого
hiesig;местный,здешний
hilfe;помощь
hilfe leisten;оказывать помощь
hilflos;беспомощный
hilfreich;порция
hilfsbedürftig;нуждающийся в помощи
hilfsmittel;вспомогательное средство
hilfsprogramme;вспомогательные программы
hilfsverb;вспомогательный глагол
himbeere;малина
himmel;небо
himmel unter freiem;под открытым небом
himmelblau;небесно-голубой
himmelsgewölbe;небо
himmelskunde;астрономия
himmelskörper;небесное тело
himmelsschrift;воздушная реклама
himmlisch;восхитительный,чудесный,дивный
hin;туда
hin und her;туда и обратно,туда-сюда
hin und wieder;иногда,время от времени
hinab;вниз
hinab den berg;вниз с горы
hinauf;вверх,наверх
hinauf den fluß;вверх по реке,течению
hinaufklettern;взбираться
hinaufsteigen;восходить
hinaus;наружу
hinaus zum fenster;из окна
hinaus zur tür;за дверь,вон
hinausgehen;выходить,превышать
hinausgelaufen;выбегать
hinauswerfen;выбрасывать
hindern;препятствовать,мешать
hindernis;препятствие,помеха,затруднение
hinderte;задерживаемый
hindu;индус
hindufrau;индуска
hindurch;через,насквозь
hindurch di ganze nacht;всю ночь напрол
hinein;внутрь
hinein bis in die nacht;до поздней ночи
hinein ins haus;в дом
hineinblicken;заглядывать
hineingehen;входить
hineinsehen;заглядывать
hineinziehen;запутать,вовлекать
hinfallen;падать,упасть
hinfällig;дряхлый,полуразрушенный,гнилой
hinfügen;добавлять,присоединять
hingeben;передавать,отдавать
hingeben sich;отдаваться,посвящать себя
hingebung;увлеченность,самоотверженность,преданность
hingegen;наоборот
hinhörend;слушание
hinken;хромать
hinknien;преклонять колени
hinkniend;стоящий на коленях
hinlänglich;скорее,достаточно
hinneigen;изгиб
hinreichen;хватать
hinreißen;увлекать
hinrichten;казнить
hinrichtung;казнь,смертная казнь
hinsetzen;садиться,усаживаться
hinsicht;отношение
hinsicht in  auf;относительно ч
hinsicht in dieser;в этом отношении
hinsichtlich;относительно,по отношению
hinstellen;поставить туда
hinten;позади,сзади
hinten nach;назад
hinter;позади,за
hinter dem schrank;за шкафом
hinter den schrank;за шкаф
hinterblieben;обездоленный
hinterbringen;разоблачать
hintere;задний,последний
hintereinander;один за другим,друг за другом
hinterer;назад
hintergedanke;задняя мысль
hintergehen;обмануть
hintergrund;задний план,фон
hinterhalt;засада
hinterher;впоследствии
hinterhältig;коварный,вероломный,скрытный
hinterland;тыл
hinterlegen;взнос
hinterlist;коварство,хитрость
hinterlistig;коварный,хитрый
hintern;задница
hinterteil;тыльная сторона
hinunter;вниз
hinunter den berg;с горы,под гору
hinunter den fluß;вниз по реке,течению
hinuntergehen;сходить,идти вниз
hinunterwerfen;сбрасывать
hinweg;отстоящий
hinweis;указание,ссылка
hinweisen;указывать,ссылаться на
hinweistext;легенда
hinwerfend;бросающе
hinzu;сверх того,кроме того
hinzufügen;добавлять
hinzufügung;устный экзамен
hinzurechnen;причислять
hinzutun;добавлять
hinüber;на ту сторону,на той стороне
hinüberfahren;перевозить,переезжать
hinüberfliegen;перелетать
hirn;головной мозг
hirsch;олень
hirse;просо,пшено
hirt;пастух
hissen;поднимать флаг,поднимать паруса
historie;рассказ
historisch;исторический
hitze;жара,зной,разгар,пыл
hitzig;горячий,пылкий
hitzkopf;вспыльчивый человек,горячая голова
hobby;хобби
hobel;рубанок
hobeln;строгать
hoch;высокий
hoch n;ура,здравица,тост
hochachtungsvoll;с глубоким уважением
hochebene;плато
hochentwickelt;высокоразвитый
hochfliegend;возвышенный
hochhaus;небоскреб
hochheben;высоко поднимать,приподнимать
hochkomma;обращение
hochkonkunktur;ажиотаж
hochland;нагорный
hochmoor;верховое болото
hochmut m;высокомерие,надменность,спесь
hochmütig;высокомерный
hochnäsig;воображающий,чванный
hochnäsige;заносчивый,надменный
hochnäsigen;воображающий
hochofen;доменная печь,домна
hochruf;крик ура
hochschule;высшее учебное заведение,вуз
hochsommer;середина лета,разгар лета
hochstellen;надписанный
hochtrabend;высокопарный
hochverrat;государственная измена
hochwertig;высококачественный
hochwertig ii;полноценный
hochzeit;свадьба
hocken;сидеть на корточках
hocker;табуретка
hockey;хоккей на траве
hof;двор,усадьба,хутор
hoffahrt;гордость
hoffe;надеюсь
hoffen;надеяться
hoffnung;надежда
hoffnung jm  machen;обнад,живать
hoffnungslos;безнадежный
hoffnungsvoll;полный надежд,подающий надежды
hofraum;двор
hoheit;величество,превосходство
hohl;полый,пустой,впалый
hohlpfosten;большая бочка
hohlraum;пустота,пустое пространство
hohlsaum;ажурная строчка
hohlweg;ложбина,ущелье
hohn;насмешка,издевка
hokey;хоккей,на траве
hold;милый,прелестный
holen;приводить,приносить
holen lassen;посылать за к
holland;голландия
holländer;нидерландец,голландец
holländisch;голландский,нидерландский
holm;прогон,продольный брус,жердь брусьев,вал
holperig;ухабистый,неровный
holz;дерево,древесина,дрова
holzarbeit;деревянная часть сооружения
holzfäller;лесоруб
holzfällers;гравер по дереву
holzgerüst;конструкция
holzhacker;дровосек
holzhammer;сокрушительный,деревянный молоток
holzhauer;дровосек
holzhaufen;охапка дров
holzkohle;древесный уголь
holzplatz;лесной склад
holzscheit;брусок
holzschnitt;гравюра на дереве
holzschuppen;дровяной сарай
holzstamm m;бревно
homogen;однородный,гомогенный
homonym;омоним
homosexüell;гомосексуальный
honigsüß;сладкий как мед,слащавый
honorar;гонорар
hopfen;хмель
hopplahop;поспешный
horchen;слушать,прислушиваться
horde;стая,стадо,реш,тка
horizont;горизонт
horizontal;горизонтальный
horn;рог,рожок,горн
hornig;мозолистый,грубый
horoskop;гороскоп
horst;гнездо,берлога
hose f;брюки,штаны
hosen;брючный,широкие брюки
hosentasche;карман
hosenträger;подтяжки
hospital;больница
hospiz;монастырская,гостиница
hotel;гостиница,отель
hotelboy;коридорный
hotelier;хозяин гостиницы
hotelzimmer;комната
hu;вот так так,фи,возглас отвращения
hu;фу,фи
hubschrauber;вертолет
huf;копыто
hufeisen;подкова
huhn;курица
huld;милость,благосклонность,одолжение
human;гуманный
humanismus;гуманизм
hummel;шмель
hummer;омар
humor;юмор
humoristisch;юмористический
humorvoll;с юмором,забавный,комичный
humpeln;хромать
humus;перегной
hund;собака
hundebluhme;одуванчик
hunderjähriger;столетний
hundert;сто
hundertgradig;по стоградусной шкале
hundertjährig;столетний
hunger;голод
hunger ich habe;я голоден
hunger leiden;голодать
hungerleider;голодный
hungern;голодать
hungersnot;голод,массовое бедствие
hungrig;голодный
hupen;сигналить
hupsignal;звуковой сигнал,гудок,автомобиля
hure;девушка,блудница
huren;проститутка
hurrah;ура
hurtig;прыткий,проворный,шустрый
husar;гусар
huschen;прошмыгнуть,промелькнуть
husten;кашлять
husten m;кашель
hut auf der  sein;быть настороже
hut f;защита,охрана
hut m;шляпа
hutmacherin;модистка,шляпочница
hydrodynamik;гидродинамика
hygiene;гигиена
hygienisch;гигиенический
hymne;гимн
hyperbel;гипербола
hypertonie;повышенное кровяное давление
hypnose;гипнотический
hypnotisieren;гипнотизировать
hypnotismus;гипнотизм
hypoderm;подкожный
hypothek;закладная
hypothekar;кредитор по закладной
hypothese;гипотеза
hysterie;истерия
hysterisch;истеричный
hyäne;гиена
häftling;заключенный,задержанный
hähnchen;курятина
häkeln;вязать крючком
hälfte;половина
hämoglobin;гемоглобин
händel;ссоры,раздор
händler;торговец
hänfling;коноплянка
hängebahn;подвесная дорога
hängen;висеть
hängend;висящий
hänselei;подшучивать
hänseln;дразнить,подтрунивать
häresie;ересь
härte;твердость,жесткость
härten;закалять
hätscheln;баловать
häuer;забойщик
häufen;накоплять,груда,шахта доменной печи
häufig;часто
häufung;накопление
häupling;начальник,вождь
häuschen;деревенский дом
häuslich;домашний,семейный
häßlich;некрасивый,безобразный,скверный
höchst;самый высокий,высочайший,наибольший
höchst;верховный
höchst ii;весьма,крайне
höchstens;самое большое,максимум
höchstleistung;высшее достижение,рекорд
höchstwertig;высококачественный,высокосортный
höcker;горб,нарост
höflich;вежливый,учтивый
höflichkeit;вежливость,учтивость
höhe;высота,вышина,размер,уровень
höhenangst;боязнь высоты
höhenlage;высота,уровень
höhepunkt;зенит,кульминация
höhepunkt m;апогей,перен
höher;выше,более высокий
höherstehend;первостепенный
höhle;пещера,берлога,нора,полость
höhlung f;дупло,углубление,выемка
höhnisch;насмешливый,язвительный
hölle f;ад
höllen;адский
höllisch;адский
hölzern;деревянный
hörbar;слышный,внятный
hören;слышать,расслышать,слушать
hörensagen;основанный на слухах
hörer;слушатель,трубка телефона
hörsaal m;аудитория
hörspiel;радиопостановка
hörte;слышать
höschen;трусики
hüben;здесь,ближний
hübsch;красивый,милый,хорошенький,симпатичный
hüfte;бедро
hügel;холм
hügel m;бугор
hühner;курицы
hühnerauge;мозоль,на ноге
hülle;оболочка,покров,обертка,упаковка,футляр
hülle in  und fülle;в изобилии
hüllen;укутывать,завертывать
hülse;гильза,стручок,втулка
hülsenboden;паутина
hülsentragend;бобовый
hünchen;курятина
hündisch;собачий,раболепный
hüpfen;прыгать,скакать,подпрыгивать
hürde;барьер,плетень,заграждение
hürde f;барьер,спорт
hüten;хранить,стеречь,пасти
hüten sich;остерегаться
hüter;опекун
hütte;хижина,избушка,шалаш
hütte ii;металлургический завод
hüttenindustrie;металлургическая индустрия
idee;идея,мысль
im laufschritt;бегом
imbiß;легкий завтрак,закуска
immer;всегда
immergrün;вечнозеленый
import;импорт,ввоз
improvisieren;импровизировать
impuls;импульс,побуждение,порыв
imstande sein;быть в состоянии
in;на
in wut bringen;бесить
inbegriff;воплощение,олицетворение
indessen;тем временем,между тем,все же,однако
indianer;индеец
indirekt;косвенный
industrie;промышленность,индустрия
information;информация,сведения
ingenieur;инженер
inhaber;владелец,держатель,обладатель
inhalt;содержание,содержимое,вместимость,объем
innereien;внутренности
innerhalb;внутри,в пределах
innerlich;внутренний,душевный
inoffiziell;неофициальный
insel;остров
instruieren;инструктировать
inständig;настоятельный,убедительный
inszenierung;инсценировка,постановка,театр
intelligent;интеллигентный
interesse;интерес
interpunktion;пунктуация,знаки препинания
intim;интимный,уютный
intrige;интрига
inwieweit;насколько,в какой мере
inzwischen;тем временем,между тем
irdisch;земной,житейский
irgend etwas;что-то,кое-что,что-нибудь
irgendein;какой-то,какой-нибудь
irgendwas;что-то,кое-что,что-нибудь
irgendwie;как-нибудь,как-то,кое-как
irgendwo;где-то,где-нибудь
irgendwohin;куда-то,куда-нибудь
irreal;нереальный,неосуществимый,ирреальный
irreführen;вводить в заблуждение,заблуждаться
irren;блуждать,ошибаться
irrenhaus;сумасшедший дом
irrereden;бредить
irrsinnig;сумасшедший,помешанный,безумный
irrtum;ошибка,заблуждение
irrtümlich;ошибочный,неправильный,по ошибке
isolieren;изолировать
jacke;куртка,курточка,кофта,кофточка,жакет
jagd;охота,погоня
jagen;охотиться,гнаться,преследовать
jahrbuch;ежегодник
jahrestag;годовщина
jahrgang;год рождение,год издания
jahrhundert;столетие,век
jammern;причитать,убиваться,ныть,хныкать
januar;январь
japanisch;японский
jargon;жаргон
jazz;джаз,джазовая музыка
je;когда-нибудь,когда-либо
jeder;каждый,любой
jedermann;каждый
jedoch;однако,же
jemals;когда-нибудь,когда-либо
jemand;кто-то,кто-нибудь,кто-либо
jenseits;по ту сторону,на другой стороне
jetzig;теперешний,нынешний
jetzt;теперь,сейчас
johannisbeere;смородина
johlen;орать,горланить
jolle;ялик,шлюпка,швертбот
jonglieren;жонглировать
journalist;журналист
jubel;ликование,веселье,восторг
jubeln;ликовать
jubiläum;юбилей
jude;еврей
jugend;молодость,юность,молодежь
jugendlich;юный,молодой,юношеский
juli;июль
junge;мальчик,юноша,мальчишка,мальчуган
jungenhaft;мальчишеский,юношеский
junggeselle;холостяк
juni;июнь
jurist;юрист
juristisch;юридический,правовой
justiz;юстиция,правосудие
juwel;драгоценный камень,драгоценность
juwelier;ювелир
jäger;охотник,самолет-истребитель
jäh;внезапный,резкий,порывистый
jährlich;ежегодный,годичный,годовой
jämmerlich;жалобный,жалостный,жалкий
jüdisch;еврейский
jünger;моложе
jüngling;юноша
kabarett;театр миниатюр,кабаре
kabel;кабель
kabine;кабина,каюта
kabinett;кабинет
kader;состав,кадровый,специалист
kadidieren;баллотироваться
kahl;лысый,голый,о деревьях
kahn;лодка
kai;набережная,причал
kaiser;император
kajüte;каюта
kakao;какао
kaktee;кактус
kaktien;кактусы
kaktus;кактус
kalb;теленок
kalben;отелиться
kalender;календарь
kalk;известь,известка
kalkhaltig;известковый,содержащий известь
kalkstein;известняк
kalorie;калория
kalt;холодный
kaltblütig;бесстрастный
kamel;верблюд
kamera;кинокамера,фотоаппарат,фотокамера
kamerad;товарищ,приятель
kameradschaft;товарищество,чувство товарищества
kameramann;кинооператор
kamille;ромашка
kamin;камин
kammer;комнатка,каморка,чулан,кладовка
kammgarn;камвольная пряжа
kampf m;бой,сражение,борьба
kampffähigkeit f;боеспособность
kampflustig;воинственный,воинствующий
kanal;канал
kandidat m;кандидат,претендент
kaninchen;кролик
kanne f;бидон,фляга,кувшин,кофейник
kanone;пушка
kante;край,кант,кайма
kantine;столовая
kap;мыс
kapazität;мощность,емкость,вместимость
kapelle;часовня,небольшой оркестр
kapellmeister;капельмейстер,дирижер
kapital;капитал
kapitalismus;капитализм
kapitalistisch;капиталистический
kapitulation;капитуляция
kapitulieren;сдаваться
kapitän;капитан,командир экипажа
kappe;шапка,шапочка,капюшон,колпак
kapriziös;капризный,своенравный
kapsel;футляр,коробочка,капсула
kaputt;разбитый,сломанный
kaputtschlagen;разбить,перебить
kapuze;капюшон
kapuzinerkresse;настурция
karabiner;карабин
karaffe;графин
karikatur;карикатура,шарж
karikieren;изображать в карикатурном виде
karminrot;карминный,ярко-красный
karneval;карнавал
karo n;бубны,карт
karpfen;карп
karre;тачка,тележка
karte f;карта,открытка,почтовая,карточка,билет
kartei;картотека
kartoffel;картофель,картошка
karton;картон,картонная коробка
kasse;касса
kasserolle;кастрюля с длинной ручкой,сотейник
kassette;шкатулка,ларчик,кассета,футляр
kassierer;кассир
kastanie;каштан
kasten;ящик
katalog;каталог
katarrh;катар,заболевание
katastrophal;катастрофический,ужасный
katastrophe;катастрофа,стихийное бедствие
kategorie;категория
kategorisch;категорический,категоричный
kathedrale;кафедральный собор
kattun;ситец
katze;кошка
kauen;жевать,разжевывать,пережевывать
kauern;сидеть на корточках
kauf;покупка
kaufkraft;покупательная способность
kaufmann;торговец,коммерсант
kaufmännisch;торговый,коммерческий
kaugummi;жевательная резинка
kausalzusammenhang;причинная связь
kaution;денежное поручительство,залог
kautschuk;каучук
kauz;сова,сыч
kavallerie;кавалерия,конница
kaviar;икра
kegel;кегля
kehlkopf;гортань
kehricht m;мусор,сор
keifen;браниться,кричать
keimfrei;стерилизованный
kein;не,ни один,никто,никакой
keineswegs;отнюдь,ничуть,никоим образом
keks;печенье
kelch;чаша,кубок,бокал,фужер
keller;подвал,погреб
kellner;официант,кельнер
kennen;знать,быть знакомым,узнавать
kenntnis;знания,познания
kennzeichnen;помечать,отмечать,маркировать
kentern;опрокинуться,перевернуться
keramik;керамическое изделий,керамика
keramisch;керамический
kerbe;засечка,зарубка,насечка
kerker;застенок
kerl;парень,малый
kern;косточка,зернышко,ядро,сердцевина
kernphysik;ядерная физика
kessel;котел,котелок,чугунок
kette;цепь,цепочка,бусы
keuchen;тяжело дышать,задыхаться
keule;дубина,булава
keusch;целомудренный,девственный
kichern;хихикать
kiefer;челюсть
kiel;киль
kielwasser;кильватер
kies;гравий
kilo;килограмм
kilogramm;килограмм
kiloherz;килогерц
kilometer;километр
kind;ребенок
kinder;дети
kinderwagen;детская коляска
kinderzimmer;детская комната
kindheit;детство
kindisch;ребяческий,несерьезный,по-детски
kindlich;детский
kinn;подбородок
kinnbacke;челюсть
kinnlade;челюсть
kino;кино,кинотеатр,кинофильм
kirche;церковь
kirchhof;кладбище
kirchlich;церковный
kirchturm;колокольня
kirsche;вишня,черешня
kissen;подушка
kiste;ящик
kitt;замазка,шпаклевка
kittel;спецовка,рабочий халат
klage;рыдания,причитания,стенания,жалоба
klagen;жаловаться,сетовать
klammer;скоба,зажим,прищепка,скобки
klang;звук,звон,звучание
klanglos;глухой,о голосе
klangvoll;звучный,звонкий
klappe;клапан,заслонка,форточка
klappen;откинуть,поднять,хлопать,стучать
klappern;громыхать,дребезжать,стучать зубами
klapperschlange;гремучая змея
klaps;шлепок
klar;ясный,прозрачный,светлый
klarinette;кларнет
klasse;класс
klassifikation;классификация
klassifizieren;классифицировать
klassisch;классический
klatschen;хлопать в ладоши
klaue;копыто,коготь
klauen;стянуть,стащить
klausel;оговорка,условие
kleben;клеить,склеивать,заклеивать
klebrig;липкий
klecks;клякса,пятно
klecksen;сажать кляксы,сажать пятна
kleid;платье,одежда
kleiden;одевать
kleiderschrank;гардероб,шкаф для одежды
kleidung;одежда
klein;маленький,небольшой
klette;лопух,репейник
klettern;лазить,лезть,взбираться,карабкаться
klima;климат
klimatisch;климатический
klimpern;бренчать
klinge;лезвие
klingel;звонок,дверной,колокольчик
klingeln;звонить в звонок
klingen;звонить,звенеть,звучать,раздаваться
klingend;звонкий
klinik;клиника
klinke;дверная ручка
klippe;утес,скала,риф
klirren;дребезжать,звенеть,звякать
klopfen;стучать,стучаться
klopfer;выбивалка,для ковра
kloster;монастырь
klotz;колода,чурбан
klotzig;неуклюжий,неотесанный
klug;умный
klugheit;ум,благоразумие
klumpen;глыба,ком,кусок,комок
klären;выяснять,осветлять
knabbern;грызть
knabe;мальчик
knacken;щелкать,трещать,хрустеть
knall;шум,треск,выстрел,хлопанье
knallen;щелкать кнутом,хлопать дверью
knapp;тесный,узкий
knarren;скрипеть
knausern;скупиться
knechtschaft;рабство,кабала
kneifen;щипать,ущипнуть,поджимать губы
kneifer;пенсне
kneipe;кабак,забегаловка
kneten;лепить,месить,массировать
knick;изгиб,загиб,сгиб
knicks;реверанс,книксен
knie;колено
kniehose f;брюки до колен
knien;стоять на коленях
kniend;стоя на коленях
kniescheibe;коленная чашечка
kniff;сгиб,загиб,складка,трюк,уловка
knipsen;снимать,фото,компостировать,щелкать
knirschen;хрустеть,скрипеть,скрежетать
knistern;шелестеть,шуршать,хрустеть,потрескивать
knochen;кость,косточка
knochig;костлявый,скуластый
knolle;клубень
knollig;клубневидный
knopf;пуговица,запонка,кнопка
knopfloch;петля для пуговицы
knorpel;хрящ
knorpelig;хрящевой,хрящевидный
knospe;почка,бутон
knoten;узел,сплетение
knurren;рычать
knusperig;хрустящий,поджаристый
knöchel;лодыжка,щиколотка,костяшка пальца
knöchern;костяной,костлявый
knödel;клецки,кнели,фрикадельки
knüpfen;связывать,завязывать,плести
knüppel;дубина,дубинка,ручка управления
kobold;домовой,гном
koch;повар,кок
kochen;варить,отваривать,готовить пищу
kocher;керосинка,примус,спиртовка
kochnische;кухня-ниша
kochplatte;электроплитка,конфорка
koffein;кофеин
koffer;чемодан
kofferraum m;багажник,авто
kohl;капуста
kohlrübe f;брюква
koje;койка
kolben;поршень,колба,приклад
kollege;сослуживец,коллега,сотрудник
kollegium;коллегия,преподавательский состав
kolonne;колонна,строй,бригада
kombinieren;логически рассуждать,комбинировать
kombüse;камбуз
komik;комизм,комичность
komisch;смешной,комичный,комический
kommen;приходить,идти,сюда,приезжать
kommentieren;комментировать
kommunal;городской,коммунальный,муниципальный
konfession;вероисповедание
konfitüre;варенье,конфитюр
konjunktiv;конъюнктив,сослагательное наклонение
konkurrent;конкурент,соперник
konstrukteur;конструктор
konto;счет
kontrolle;контроль,проверка
kontrollieren;контролировать,проверять
konversationslexikon;энциклопедический словарь
kopf;голова
kopftuch;косынка,платок
kopplung;сцепление,соединение,стыковка
korb;корзина,корзинка
kork;пробка,материал
korkenzieher;штопор,для бутылок
korn;зерно,хлеб,зернышко
korrekt;правильный,корректный
korrektur;исправление,коррекция,поправка
korrespondent;корреспондент
korrespondenz;переписка,корреспонденция
korrespondieren;переписываться
korridor;коридор
korrigieren;исправлять,вносить поправки
korrosion;коррозия
korruption;продажность,коррупция
kosmetik;косметика
kosmetikerin;косметолог
kosmisch;космический
kosmos;космос
kost;пища,питание
kostbar;ценный,драгоценный
kosten;стоить
kosten pl;расходы
kostspielig;дорогой,дорогостоящий
kostüm;костюм
kot;кал,помет
kotelett;отбивная,котлета
koteletten;бакенбарды
kotflügel;крыло,авто
kotig;грязный
krabe;краб
krach;грохот,шум,скандал,крах,банкротство
krachen;трещать,грохотать
kraft;сила
kraftlos;бессильный
kralle;коготь
krampf;судорога,спазм
krampfhaft;судорожный
kran;кран,грузоподъемный
kranich;журавль
krank;больной
krankenhaus n;больница
krankenschwester;медицинская сестра,медсестра
krankhaft;болезненный
krankheit f;болезнь
kranz;венок
kratzen;царапать,чесать,скрести
kraus;вьющийся,курчавый,кудрявый
kraut;зелень,травянистое растение
kraut n;ботва
krawall;суматоха
krawatte;галстук
kredit;кредит
kreide;мел,мелок
kreis;круг,окружность
kreischen;визжать,пронзительно кричать
kreisel;волчок,юла
kreisen;кружиться,вращаться,циркулировать
kreisförmig;круговой,кругообразный
kreislauf;циркуляция,кровообращение
krematorium;крематорий
kreuz;крест
kreuzen;скрещивать,перекрещивать,пересекать
kriechen;ползать,ползти
kriecher;подхалим
kriechtiere;пресмыкающиеся,рептилии
krieg;война
kriegszustand;военное положение,состояние войны
kriminell;уголовный,преступный
kringel m;баранка,бублик
krise;кризис
kristall;кристалл,хрусталь
kriterium;критерий,признак
kritik;критика
kritiker;критик
kritisch;критический
kritisieren;критиковать
krokodil;крокодил
krokus;крокус,шафран
krone;корона,венец,крона
kronleuchter;люстра
krug;кувшин,кружка
krume;мякиш,хлебный крошки
krumm;кривой,искривленный,скрюченный
kruste;корка хлеба,корочка жаркого
krächzen;каркать,кряхтеть
